Come in!	Qǐng jìn!	请进！
Yesterday he called.	Zuótiān tā dǎ diànhuà lai.	昨天他打电话来。
He was chatting with two other friends.	Tā zhèng hé lìngwài liǎngwèi péngyou tánhuà.	他正和另外两位朋友谈话。
He introduced us to each other.	Tā gěi wǒmen hùxiāng jièshàole yíxiàr.	他给我们互相介绍了一下儿。
There were lots and lots of records on the table.	Zhuōzishang fàngzhe xǔduō chàngpiàn.	桌子上放着许多唱片。
This was given as a gift.	Zhè shi sòng de.	这是送的。
We listened to a symphony and a piano concerto.	Wǒmen tīng de shi jiāoxiǎngyuè hé gāngqín xiézòuqǔ.	我们听的是交响乐和钢琴协奏曲。
3 records	sān zhāng chàngpiàn	三张唱片
8 concerti	bā bù xiézòuqǔ	八部协奏曲
This is the Yellow River.	Zhè shi huánghé.	这是黄河。
This piece was composed in the last several years.	Zhè bù yīnyuè zuòpǐn shi zuìjìn jǐnián chuàngzuò de.	这部音乐作品是最近几年创作的。
It describes China's anti-Japanese war.	Nèiróng shi miáoxiě zhōngguó kàngrì zhànzhēng de.	内容是描写中国抗日战争的。
He introduced us to contemporary Peking opera.	Tā gěi wǒmen jièshàole zhōngguó xiàndài jīngjù.	他给我们介绍了中国现代京剧。
If you have time, we'd like to hear those other records.	Rúguǒ nǐ yǒu shíjiān, wǒmen hái xiǎng tīngting lìngwài nàxiē chàngpiàn.	如果你有时间，我们还想听听另外那些唱片。
You should completely read the vocabulary first and (only) then read the lesson.	Nǐ yīnggāi xiān niànshúle shēngcí, zài niàn kèwén.	你应该先念熟了生词，再念课文。
He says he'll finish eating before he goes.	Tā shuō tā chīwánfàn zài qù.	他说他吃完饭再去。
Tell him not to leave before 7.	Jiào tā qīdiǎnzhōng zài zǒu.	叫他七点钟再走。
I brought that magazine.	Wǒ bǎ nà běn zázhì dàilai le.	我把那本杂志带来了。
I've finished today's exercises.	Wǒ bǎ jīntiān de liànxí zuòwánle.	我把今天的练习作完了。
Please say a bit about your work experiences.	Qǐng nǐ bǎ nǐ de gōngzuò jīngyàn jièshaojieshao.	请你把你的工作经验介绍介绍。
Let's discuss those questions.	Zánmen bǎ nàxiē wèntí tǎolùn ba.	咱们把那些问题讨论吧。
I took his letter and put it on the table.	Wǒ bǎ tā de xìn fàng zài zhuōzishang le.	我把他的信放在桌子上了。
I still haven't finished that book, I'll give it back to you tomorrow.	Wǒ hái méi bǎ nàběn shū kànwán, míngtiān zài huán nǐ ba.	我还没把那本书看完，明天再还你吧。
We should memorize the new vocab.	Wǒmen yīnggāi bǎ shēngcí jìzhù.	我们应该把生词记住。
I want to learn Chinese well.	Wǒ yào bǎ zhōngwén xuéhǎo.	我要把中文学好。
We must give conveniences to others and keep difficulties for ourselves.	Wǒmen yào bǎ fāngbian rànggěi biéren, bǎ kùnnàn liúgěi zìjǐ.	我们要把方便让给别人，把困难留给自己。
We're going to see a movie, aren't we?	Wǒmen shìbushi qù kàn diànyǐng?	我们是不是去看电影？
You still haven't called him, huh?	Nǐ hái méi gěi tā dǎ diànhuà ne, shìbushi?	你还没给他打电话呢，是不是？
Haven't you already taken the patients to the hospital?	Shìbushi nǐ yǐjīng bǎ bìngrén sòngdào yīyuàn qu le?	是不是你已经把病人送到医院去了？
*** 请 ***	qǐng	请
*** 进 ***	jìn	进
*** 你 ***	nǐ	你
*** 叫 ***	jiào	叫
*** 什 ***	shén	什
*** 么 ***	me	么
*** 名 ***	míng	名
*** 字 ***	zì	字
*** 学 ***	xué	学
*** 习 ***	xí	习
*** 在 ***	zài	在
*** 哪 ***	nǎ	哪
*** 儿 ***	ér	儿
*** 中 ***	zhōng	中
*** 文 ***	wén	文
*** 晚 ***	wǎn	晚
*** 上 ***	shàng	上
*** 有 ***	yǒu	有
*** 辅 ***	fǔ	辅
*** 导 ***	dǎo	导
*** 吗 ***	ma	吗
*** 没 ***	méi	没
*** 我 ***	wǒ	我
*** 宿 ***	sù	宿
*** 舍 ***	shè​	舍
*** 复 ***	fù​	复
*** 那 ***	nà	那
*** 是 ***	shì	是
*** 食 ***	shí	食
*** 堂 ***	táng	堂
*** 和 ***	hé	和
*** 商 ***	shāng	商
*** 店 ***	diàn	店
*** 图 ***	tú	图
*** 书 ***	shū	书
*** 馆 ***	guǎn	馆
*** 实 ***	shí	实
*** 验 ***	yàn	验
*** 室 ***	shì	室
*** 喂 ***	wèi	喂
*** 王 ***	wáng	王
*** 老 ***	lǎo	老
*** 师 ***	shī	师
*** 等 ***	děng	等
*** 一 ***	yī	一
*** 去 ***	qù	去
*** 看 ***	kàn	看
*** 想 ***	xiǎng	想
*** 跟 ***	gēn	跟
*** 他 ***	tā	他
*** 谈 ***	tán	谈
*** 考 ***	kǎo​	考
*** 试 ***	shì	试
*** 的 ***	de	的
*** 问 ***	wèn	问
*** 题 ***	tí	题
*** 时 ***	shí	时
*** 候 ***	hòu	候
*** 回 ***	huí	回
*** 来 ***	lái	来
*** 以 ***	yǐ	以
*** 后 ***	hòu	后
*** 给 ***	gěi	给
*** 打 ***	dǎ	打
*** 个 ***	ge	个
*** 电 ***	diàn	电
*** 话 ***	huà	话
*** 们 ***	men	们
*** 都 ***	dōu	都
*** 不 ***	bú	不
*** 教 ***	jiāo	教
*** 历 ***	lì	历
*** 史 ***	shǐ	史
*** 练 ***	liàn	练
*** 听 ***	tīng	听
*** 也 ***	yě	也
*** 说 ***	shuō	说
*** 努 ***	nǔ	努
*** 力 ***	lì	力
*** 五 ***	wǔ	五
*** 百 ***	bǎi	百
*** 零 ***	líng	零
*** 四 ***	sì	四
*** 二 ***	èr	二
*** 千 ***	qiān	千
*** 六 ***	liù	六
*** 十 ***	shí	十
*** 九 ***	jiǔ	九
*** 几 ***	jǐ	几
*** 本 ***	běn	本
*** 子 ***	zi	子
*** 七 ***	qī	七
*** 枝 ***	zhī	枝
*** 铅 ***	qiān	铅
*** 笔 ***	bǐ	笔
*** 八 ***	bā	八
*** 张 ***	zhāng	张
*** 纸 ***	zhǐ	纸
*** 这 ***	zhè	这
*** 很 ***	hěn	很
*** 好 ***	hǎo	好
*** 杂 ***	zá	杂
*** 志 ***	zhì	志
*** 旧 ***	jiù	旧
*** 白 ***	bái	白
*** 多 ***	duō	多
*** 课 ***	kè	课
*** 长 ***	cháng	长
*** 法 ***	fǎ	法
*** 少 ***	shǎo	少
*** 薄 ***	báo	薄
*** 每 ***	měi	每
*** 人 ***	rén	人
He's Canadian.	Tā shi jiānádà rén.	他是加拿大人。
He explained China's anti-Japanese war.	Tā jiǎngle zhōngguó de kàngrì zhànzhēng.	他讲了中国的抗日战争。
He deeply loved the people.	Tā rèaì rénmín.	他热爱人民。
He was absolutely selfless and thought only of others.	Tā háobùlìjǐ, zhuānménlìrén.	他毫不利己，专门利人。
He actively attended soldiers of the 8th Route Army.	Tā jījí gěi bālùjūn zhànshì kànbìng.	他积极给八路军战士看病。
A soldier suffered a serious wound.	Zhànshì shòule zhòngshāng.	战士受了重伤。
They carried him to the hospital.	Tāmen bǎ tā táidàole yīyuàn.	他们把他抬到了医院。
He had already fainted from losing too much blood.	Tā yīnwèi liúxuè tài duō, yǐjīng hūnmíle.	他因为流血太多，已经昏迷了。
His life was in great danger.	Shēngmìng fēicháng wēixiǎn.	生命非常危险。
Seeing things in this state, he went out.	Kàndào zhèzhǒng qíngkuàng, tā chūqule.	看到这种情况，他出去了。
Is it necessary to do a transfusion?	Shìbushi bìxū shūxuè?	是不是必须输血？
The hospital didn't have enough blood.	Yīyuànli de xuè bú gòu le.	医院里的血不够了。
Go ahead and draw my blood.	Chōu wǒ de xuè ba.	抽我的血吧。
He disagrees.	Tā bù tóngyì.	他不同意。
Work was so busy they couldn't let him transfuse blood.	Gōngzuò zhèyang máng, bù néng ràng tā shūxuè.	工作这样忙，不能让他输血。
In order to liberate the people he was wounded.	Wèile jiěfàng rénmín tā shòule shāng.	为了解放人民他受了伤。
We must certainly save his life.	Wǒmen yídìng yào bǎ tā jiùhuó.	我们一定要把他救活。
It is what should be done.	Shi yīnggāi de.	是应该的。
He lay down on the bed.	Tā tǎng zài chuángshang.	他躺在床上。
He gave it (as a transfusion) to the wounded comrade.	Tā shūgěile shòushāng de tóngzhì.	他输给了受伤的同志。
He is a great internationalist soldier.	Tā shi wěidà guójìzhǔyì zhànshì.	他是伟大国际主义战士。
*** 两 ***	liǎng	两
*** 分 ***	fēn	分
*** 析 ***	xī	析
*** 句 ***	jù	句
*** 常 ***	cháng	常
*** 民 ***	mín	民
*** 画 ***	hùa	画
*** 班 ***	bān	班
*** 间 ***	jiān	间
*** 今 ***	jīn	今
*** 天 ***	tiān	天
*** 午 ***	wǔ	午
*** 第 ***	dì	第
*** 节 ***	jié	节
*** 新 ***	xīn	新
*** 讲 ***	jiǎng	讲
*** 语 ***	yǔ	语
*** 帮 ***	bāng	帮
*** 助 ***	zhù	助
*** 共 ***	gòng	共
*** 三 ***	sān	三
*** 生 ***	shēng	生
*** 词 ***	cí	词
*** 桌 ***	zhuō	桌
*** 把 ***	bǎ	把
*** 椅 ***	yǐ	椅
*** 绿 ***	lǜ	绿
*** 谁 ***	sheí	谁
*** 校 ***	xiào	校
*** 怎 ***	zěn	怎
*** 样 ***	yàng	样
*** 专 ***	zhuān	专
*** 业 ***	yè	业
*** 办 ***	bàn	办
*** 公 ***	gōng	公
*** 星 ***	xīng	星
*** 期 ***	qī	期
*** 年 ***	nián	年
*** 月 ***	yuè	月
*** 或 ***	huò	或
*** 者 ***	zhě	者
*** 只 ***	zhǐ	只
*** 明 ***	míng	明
*** 国 ***	guó	国
*** 号 ***	hào	号
*** 昨 ***	zuó	昨
*** 从 ***	cóng	从
*** 起 ***	qǐ	起
*** 大 ***	dà	大
*** 首 ***	dū	首
*** 北 ***	běi	北
*** 京 ***	jīng	京
*** 前 ***	qián	前
*** 工 ***	gōng	工
*** 作 ***	zuò	作
*** 外 ***	wài	外
Please talk a little about your experiences.	Qǐng nǐ bǎ nǐ de jīngyàn tántan.	请你把你的经验谈谈。
He bought that radio yesterday (and brought it here).	Tā zuótian bǎ nà jià shōuyīnjī mǎi lái le.	他昨天把那架收音机买来了。
He still hasn't finished writing the letter.	Tā hái méiyǒu bǎ xìn xiěwán.	他还没有把信写完。
Please put the things on the table.	Qǐng nǐ bǎ dōngxi fàng zài zhuōzi shang.	请你把东西放在桌子上。
He translated this sentence into English.	Tā bǎ zhège jùzi fānyìchéng yīngwén le.	他把这个句子翻译成英文了。
Did you give that book back to him?	Nǐ shìbushi bǎ nà běn shū huángěi tā le?	你是不是把那本书还给他了？
Did all the participants leave?	Shìbushi cānjiā de rén dōu zǒule?	是不是参加的人都走了？
He's thinking to listen to this symphony (once through).	Tā xiǎng bǎ zhèbù jiāoxiǎngyuè tīng yíbiàn.	他想把这部交响乐听一遍。
Several students are sitting under the big tree.	Dà shù xià zuòzhe jǐge xuéshēng.	大树下坐着几个学生。
The doctor told him to stay lying down.	Dàifu jiào tā tǎngzhe búyào qǐlái.	大夫叫他躺着不要起来。
The revolution was victorious.	Gémìng shèngdào le.	革命胜到了。
He came back to the dorm with quite a few letters.	Tā názhe hǎo jǐ fēng xìn huí sùshè lái le.	他拿着好几封信回宿舍来了。
It has to be done immediately.	Bìxū mǎshàng zuò.	必须马上作。
Otherwise his life may be in danger.	Bùrán huì yǒu shēngmìng wēixiǎn.	不然会有生命危险。
Should we eat now or in a little while?	Xiànzài chī, háishi yíhuìr chī?	现在吃还是一会儿吃？
The food's all made.	Fàncài dōu zuòhǎole.	饭菜都做好了。
With a little patching these two pieces of clothing can still be worn.	Zhè liǎng jiàn yīfu bǔyibu hái néng chuān ne.	这两件衣服补一补还能穿呢。
I thought the stamps were already used up.	Wǒ yǐwéi yóupiào yǐjīng yòngwánle.	我以为邮票已经用完了。
Two new students came to the class.	Bānshang láile liǎngge xīn xuéshēng.	班上来了两个新学生。
A few people got out of the car.	Qìchēshang xiàqùle yìxiē rén.	汽车上下了一些人。
Sometimes (he was) so busy he forgot to eat.	Yǒu shíhou máng de lián fàn yě wàngle chī.	有时候忙得连饭也忘了吃。
Before liberation, it was even hard for our family to eat.	Jiěfàng yǐqián, wǒmen jiā lián chīfàn dōu hěn kùnnan.	解放以前，我们家连吃饭都很困难。
It was hard to eat, where would we have money for books?	Chīfàn dōu hěn kùnnan, nǎr yǒu qián mǎi shū ne.	吃饭都很困难，哪儿有钱买书呢？
Even seven- and eight-year-olds love to do physical labor.	Lián qībāsuì de háizi dōu rèài láodòng.	连七八岁的孩子都热爱劳动。
He was burned while fighting a fire.	Tā jiùhuǒ de shíhou shāoshāngle.	他救火的时候烧伤了。
They put him in the hospital.	Tāmen bǎ tā sòngjinle yīyuàn.	他们把他送进了医院。
His wound was serious.	Tā shāng hěn zhòng.	他伤很重。
He passed through three hospitals, and only then was his life saved.	Tā jīngguo sānge yīyuàn, cái bǎ tā jiùhuóle.	他经过三个医院，才把他救活了。
Only with the great efforts of many doctors was his life saved.	Hǎo xiē dàifu de nǔlì, cái bǎ tā jiùhuóle.	好些大夫的努力，才把他救活了。
A burned child came to be admitted to the hospital.	Yīyuànli sònglaile yígè shāoshāng de háizi.	医院里送来了一个烧伤的孩子。
He's just recovered.	Tā gāng kāngfùle.	他刚康复了。
Draw as much (blood) as you want.	Yào duōshǎo jiù chōu duōshǎo.	要多少就抽多少。
Your wound is just healed.	Nǐ de shāng gāng hǎo.	你的伤刚好。
It will have an effect on your body.	Duì nǐ de shēntǐ yǒu yǐngxiǎng.	对你的身体有影响。
It's important to save the child.	Jiù háizi yàojǐn.	救孩子要紧。
The doctor tightly held his hand.	Dàifu jǐnjin de wò tā de shǒu.	大夫紧紧的喔他的手。
We should learn from his spirit.	Wǒmen yīnggāi xuéxí tā de jīngshén.	我们应该学习他的精神。
He's already been working in the factory for three years.	Tā zài gōngchǎng yǐjīng gōngzuòle sānniánle.	他在工厂已经工作了三年了。
We went to the park to hang out for a while.	Wǒmen dào gōngyuán wánrle yíhuìr.	我们到公园玩儿了一会儿。
It rained for more than an hour.	Yǔ xiàle yígeduō xiǎoshí.	雨下了一个多小时。
Did you review the text for two hours?	Nǐ fùxí kèwén fùxíle liǎngge xiǎoshí ma?	你复习课文复习了两个小时吗？
I only reviewed for an hour and a half.	Wǒ zhǐ fùxíle yígebàn xiǎoshí.	我只复习了一个半小时。
You've studied for more than half a year.	Nǐ xuéle bànniánduōle.	你学了半年多了。
He went to China two years ago?	Tā qù zhōngguó liǎngniánle ma?	他去中国两年了吗？
He didn't go to China two years ago, just over one year.	Tā qù zhōngguó méiyǒu liǎngnián, gāng yìniánduō.	他去中国没有两年，刚一年多。
*** 留 ***	liú	留
*** 开 ***	kāi	开
*** 始 ***	shǐ	始
*** 下 ***	xià	下
*** 参 ***	cān	参
*** 观 ***	guān	观
*** 机 ***	jī	机
*** 器 ***	qì​	器
*** 制 ***	zhì	制
*** 造 ***	zào	造
*** 厂 ***	chǎng	厂
*** 边 ***	biān​	边
